site_slug,page_name,page_id,username,facebook_url,secret_name,facebook_activo,notas
radiocinconoticias,Radio Cinco Noticias,639476222579619,,https://www.facebook.com/639476222579619,FB_TOKEN_RADIOCINCONOTICIAS,1,
centralmexico,Central México News,618190118045350,,https://www.facebook.com/618190118045350,FB_TOKEN_CENTRALMEXICO,1,
tvmexico,TV México,844452595886758,somospolicultura,https://www.facebook.com/844452595886758,FB_TOKEN_TVMEXICO,1,
cbnnoticias,CBN Noticias,580707195132774,,https://www.facebook.com/580707195132774,FB_TOKEN_CBNNOTICIAS,1,
mexicoinformado,México Informado,635096593022455,,https://www.facebook.com/635096593022455,FB_TOKEN_MEXICOINFORMADO,1,
nodoinformativo,Nodo Informativo,891600150711683,,https://www.facebook.com/891600150711683,FB_TOKEN_NODOINFORMATIVO,1,
bitacoraurbana,Bitácora Urbana,887254687809731,,https://www.facebook.com/887254687809731,FB_TOKEN_BITACORAURBANA,1,
reportecentralmx,Reporte Central MX,496061180253373,,https://www.facebook.com/496061180253373,FB_TOKEN_REPORTECENTRALMX,1,
verticenoticias,Vértice Noticias,1007206479132086,,https://www.facebook.com/1007206479132086,FB_TOKEN_VERTICENOTICIAS,1,
noticiasobjetivo,Noticias Objetivo,1015387651656200,,https://www.facebook.com/1015387651656200,FB_TOKEN_NOTICIASOBJETIVO,1,
boominformativo,Boom Informativo,501728116348917,,https://www.facebook.com/501728116348917,FB_TOKEN_BOOMINFORMATIVO,1,
capitalpress,Capital Press,458242550714232,,https://www.facebook.com/458242550714232,FB_TOKEN_CAPITALPRESS,1,
diarioexpress,Diario Express,270142869517794,,https://www.facebook.com/270142869517794,FB_TOKEN_DIARIOEXPRESS,1,
elpulsomexicano,El Pulso Mexicano,253187761218980,,https://www.facebook.com/253187761218980,FB_TOKEN_ELPULSOMEXICANO,1,
enfoquecapital,Enfoque capital,457328060805587,,https://www.facebook.com/457328060805587,FB_TOKEN_ENFOQUECAPITAL,1,
enfoquedirecto,NO ME GUSTA PAGAR,454841367704076,enfoquedirectonews,https://www.facebook.com/454841367704076,FB_TOKEN_ENFOQUEDIRECTO,0,DESACTIVADO - Editor problemático
formulacdmx,Formula CDMX,500033023189155,,https://www.facebook.com/500033023189155,FB_TOKEN_FORMULACDMX,1,
mexicantimes,Mexican Times,578088192045850,,https://www.facebook.com/578088192045850,FB_TOKEN_MEXICANTIMES,1,
mexico360noticias,México 360 Noticias,286495644543503,,https://www.facebook.com/286495644543503,FB_TOKEN_MEXICO360NOTICIAS,1,
mradio,M radio,472254365974557,,https://www.facebook.com/472254365974557,FB_TOKEN_MRADIO,1,
noticiashorizonte,Nanwnwnwnwnsnsnsjd,403046706229851,Nsssnsslsnsksnskdnnsnsnsnsnsnsns,https://www.facebook.com/403046706229851,FB_TOKEN_NOTICIASHORIZONTE,0,DESACTIVADO - Editor problemático
pulsodiario,Pulso Diario,429372300256610,,https://www.facebook.com/429372300256610,FB_TOKEN_PULSODIARIO,1,
puntoclave,Punto Clave,497685936753403,,https://www.facebook.com/497685936753403,FB_TOKEN_PUNTOCLAVE,1,
puntonoticias,Punto Noticias,216140764924862,,https://www.facebook.com/216140764924862,FB_TOKEN_PUNTONOTICIAS,1,
radarinformativo,Radar Informativo,405301062674763,,https://www.facebook.com/405301062674763,FB_TOKEN_RADARINFORMATIVO,1,
reportediario,Reporte Diario,274537812414282,,https://www.facebook.com/274537812414282,FB_TOKEN_REPORTEDIARIO,1,
televisionabc,ABC Television,481562451709320,,https://www.facebook.com/481562451709320,FB_TOKEN_TELEVISIONABC,1,
